ID,Time Stamp,Consolidating Function Type,Consolidating Time,Memory Items
31,23:09:25.175,Consolidating Function 1,0.0,4
32,23:09:26.543,Consolidating Function 1,0.0,4
33,23:09:38.592,Consolidating Function 1,0.189993,4
34,23:09:46.877,Consolidating Function 1,1.698529,5
35,23:09:49.925,Consolidating Function 1,0.0,5
36,23:09:52.033,Consolidating Function 1,0.0,5
37,23:09:54.022,Consolidating Function 1,0.0,5
38,23:09:55.754,Consolidating Function 1,0.0,5
39,23:09:57.618,Consolidating Function 1,0.0,5
40,23:09:59.732,Consolidating Function 1,0.0,5
41,23:10:00.960,Consolidating Function 1,0.0,5
42,23:10:02.127,Consolidating Function 1,0.0,5
43,23:10:03.400,Consolidating Function 1,0.0,5
44,23:10:05.848,Consolidating Function 1,0.0,5
45,23:10:07.515,Consolidating Function 1,0.0,5
46,23:10:09.145,Consolidating Function 1,0.0,5
47,23:10:21.830,Consolidating Function 1,0.187425,5
48,23:10:34.250,Consolidating Function 1,0.112197,6
49,23:10:35.609,Consolidating Function 1,0.0,6
50,23:10:51.850,Consolidating Function 1,0.422046,7
51,23:10:55.286,Consolidating Function 1,0.0,7
52,23:11:23.017,Consolidating Function 1,0.822229,8
53,23:12:03.535,Consolidating Function 1,0.280389,9
54,23:12:58.871,Consolidating Function 1,0.99512,10
55,23:13:03.573,Consolidating Function 1,0.0,10
56,23:13:08.275,Consolidating Function 1,0.0,10
57,23:13:13.087,Consolidating Function 1,0.0,10
58,23:16:10.590,Consolidating Function 1,0.285808,10
59,23:17:55.880,Consolidating Function 1,0.211327,11
60,23:18:02.891,Consolidating Function 1,0.0,11
61,23:18:09.217,Consolidating Function 1,0.0,11
62,23:20:43.845,Consolidating Function 1,0.421354,12
63,23:20:51.191,Consolidating Function 1,0.0,12
64,23:20:58.696,Consolidating Function 1,0.0,12
65,23:21:10.520,Consolidating Function 1,0.0,12
66,23:21:17.680,Consolidating Function 1,0.0,12
