ID,Time Stamp,Encoding Time,Memory Items,Learning Loop?,Forgetting Loop?
33,23:09:38.592,3460.675839,4,true,true
34,23:09:46.877,2198.435052,5,true,false
35,23:09:49.925,3008.502243,5,false,false
36,23:09:52.033,2086.837075,5,false,false
37,23:09:54.022,1977.310905,5,false,false
38,23:09:55.754,1724.008467,5,false,false
39,23:09:57.618,1854.784778,5,false,false
40,23:09:59.732,2099.299969,5,false,false
41,23:10:00.960,1216.034898,5,false,false
42,23:10:02.127,1160.885095,5,false,false
43,23:10:03.400,1261.347589,5,false,false
44,23:10:05.848,2440.832565,5,false,false
45,23:10:07.515,1648.547288,5,false,false
46,23:10:09.145,1624.225629,5,false,false
47,23:10:21.830,1202.83694,5,true,true
48,23:10:34.250,2399.708365,6,true,false
49,23:10:35.609,1350.741019,6,false,false
50,23:10:51.850,3273.774004,7,true,false
51,23:10:55.286,3428.264658,7,false,false
52,23:11:23.017,3292.444321,8,true,false
53,23:12:03.535,3665.072372,9,true,false
54,23:12:58.871,3675.874648,10,true,false
55,23:13:03.573,4694.669531,10,false,false
56,23:13:08.275,4690.044719,10,false,false
57,23:13:13.087,4802.104064,10,false,false
58,23:16:10.590,4762.448514,10,true,true
59,23:17:55.880,5581.051711,11,true,false
60,23:18:02.891,7002.404646,11,false,false
61,23:18:09.217,6314.370471,11,false,false
62,23:20:43.845,6519.30518,12,true,false
63,23:20:51.191,7322.758135,12,false,false
64,23:20:58.696,7489.279639,12,false,false
65,23:21:10.520,11450.907679,12,false,false
66,23:21:17.680,7152.854971,12,false,false
